1ojzAA.pdb.seq.fasta	coach420_0
1mmbAA.pdb.seq.fasta	coach420_1
1pfkAA.pdb.seq.fasta	coach420_2
2uyqAA.pdb.seq.fasta	coach420_3
2e6uXX.pdb.seq.fasta	coach420_4
2rfhAA.pdb.seq.fasta	coach420_5
1tvpBB.pdb.seq.fasta	coach420_6
1a7xAA.pdb.seq.fasta	coach420_7
1mq6AA.pdb.seq.fasta	coach420_8
2bogXX.pdb.seq.fasta	coach420_9
1tjwAA.pdb.seq.fasta	coach420_10
1jkkAA.pdb.seq.fasta	coach420_11
1gsaAA.pdb.seq.fasta	coach420_12
3kakAA.pdb.seq.fasta	coach420_13
1pw1AA.pdb.seq.fasta	coach420_14
2fv0AA.pdb.seq.fasta	coach420_15
1qbuAA.pdb.seq.fasta	coach420_16
1swkAA.pdb.seq.fasta	coach420_17
1q51AA.pdb.seq.fasta	coach420_18
2g25AA.pdb.seq.fasta	coach420_19
1p5rAA.pdb.seq.fasta	coach420_20
1lspAA.pdb.seq.fasta	coach420_21
1um0AA.pdb.seq.fasta	coach420_22
1c3jAA.pdb.seq.fasta	coach420_23
1f8gAA.pdb.seq.fasta	coach420_24
1xpyCC.pdb.seq.fasta	coach420_25
1ch8AA.pdb.seq.fasta	coach420_26
2hk1AA.pdb.seq.fasta	coach420_27
1ql9AA.pdb.seq.fasta	coach420_28
1g6cAA.pdb.seq.fasta	coach420_29
1xwqAA.pdb.seq.fasta	coach420_30
1ytmAA.pdb.seq.fasta	coach420_31
3kbnAA.pdb.seq.fasta	coach420_32
1d4pBB.pdb.seq.fasta	coach420_33
1qjiAA.pdb.seq.fasta	coach420_34
1u72AA.pdb.seq.fasta	coach420_35
1mq5AA.pdb.seq.fasta	coach420_8
1a26AA.pdb.seq.fasta	coach420_36
1ppcEE.pdb.seq.fasta	coach420_37
1llrDD.pdb.seq.fasta	coach420_38
2w1aCC.pdb.seq.fasta	coach420_39
2gwhAA.pdb.seq.fasta	coach420_40
1cetAA.pdb.seq.fasta	coach420_41
1f0tAA.pdb.seq.fasta	coach420_37
3cxiAA.pdb.seq.fasta	coach420_42
3gpoAA.pdb.seq.fasta	coach420_43
1ezqAA.pdb.seq.fasta	coach420_44
2chtFF.pdb.seq.fasta	coach420_45
2wn7AA.pdb.seq.fasta	coach420_46
1goyAA.pdb.seq.fasta	coach420_47
1xtbAA.pdb.seq.fasta	coach420_48
1og1AA.pdb.seq.fasta	coach420_49
2c96AA.pdb.seq.fasta	coach420_50
3hitAA.pdb.seq.fasta	coach420_51
1qhiAA.pdb.seq.fasta	coach420_52
830cAA.pdb.seq.fasta	coach420_53
4stdAA.pdb.seq.fasta	coach420_54
2ihzAA.pdb.seq.fasta	coach420_55
1fkgAA.pdb.seq.fasta	coach420_7
2qzzAA.pdb.seq.fasta	coach420_56
3dzlBB.pdb.seq.fasta	coach420_57
966cAA.pdb.seq.fasta	coach420_58
1g4oAA.pdb.seq.fasta	coach420_59
5stdAA.pdb.seq.fasta	coach420_54
3jynAA.pdb.seq.fasta	coach420_60
1nhuAA.pdb.seq.fasta	coach420_61
2ovdAA.pdb.seq.fasta	coach420_62
1uamAA.pdb.seq.fasta	coach420_63
1of8BB.pdb.seq.fasta	coach420_64
3kv8AA.pdb.seq.fasta	coach420_65
1zajAA.pdb.seq.fasta	coach420_66
1ow3BB.pdb.seq.fasta	coach420_67
1y2vAA.pdb.seq.fasta	coach420_68
1ydsEE.pdb.seq.fasta	coach420_69
1cenAA.pdb.seq.fasta	coach420_70
1ndiAA.pdb.seq.fasta	coach420_71
1k3yAA.pdb.seq.fasta	coach420_72
1xqpAA.pdb.seq.fasta	coach420_73
1jylAA.pdb.seq.fasta	coach420_74
2jgvDD.pdb.seq.fasta	coach420_75
1hpvAA.pdb.seq.fasta	coach420_76
3b3fAA.pdb.seq.fasta	coach420_77
1q8jAA.pdb.seq.fasta	coach420_78
2gteAA.pdb.seq.fasta	coach420_79
3gqkAA.pdb.seq.fasta	coach420_80
2zasAA.pdb.seq.fasta	coach420_81
1sthAA.pdb.seq.fasta	coach420_82
1j8rAA.pdb.seq.fasta	coach420_83
1jq3AA.pdb.seq.fasta	coach420_84
1e5qAA.pdb.seq.fasta	coach420_85
1vpsBB.pdb.seq.fasta	coach420_86
2fsgAA.pdb.seq.fasta	coach420_87
2e1tAA.pdb.seq.fasta	coach420_88
2wvaAA.pdb.seq.fasta	coach420_89
1a2kCC.pdb.seq.fasta	coach420_90
2vkmAA.pdb.seq.fasta	coach420_91
1i8zAA.pdb.seq.fasta	coach420_92
1y30AA.pdb.seq.fasta	coach420_93
1ogoXX.pdb.seq.fasta	coach420_94
3b4yAA.pdb.seq.fasta	coach420_95
2zhzBB.pdb.seq.fasta	coach420_96
1szjGG.pdb.seq.fasta	coach420_97
1mncAA.pdb.seq.fasta	coach420_98
1rn8AA.pdb.seq.fasta	coach420_99
3d1gAA.pdb.seq.fasta	coach420_100
2e0nBB.pdb.seq.fasta	coach420_101
2varAA.pdb.seq.fasta	coach420_102
1br6AA.pdb.seq.fasta	coach420_103
1ddtAA.pdb.seq.fasta	coach420_104
2zgmBB.pdb.seq.fasta	coach420_105
1cqfBB.pdb.seq.fasta	coach420_106
1eswAA.pdb.seq.fasta	coach420_107
